Country,1 category,2 category,Product,Year,Income in USD
Perú,No minero,Otros alimentos,Resto Otros alimentos,2017,161216990,4
Perú,No minero,Otros alimentos,Leche y otros productos lácteos,2017,18733697,07
Perú,No minero,Otros alimentos,Granos de avena,2017,441938,89
Perú,No minero,Otros alimentos,Carnes de porcino,2017,12552074,99
Perú,No minero,Otros alimentos,Carnes de ave,2017,1209358,3
Perú,No minero,Otros alimentos,Tomates preprarados o conservados,2017,1737016,56
Perú,No minero,Otros alimentos,Cecinas y embutidos,2017,620496,62
Perú,No minero,Otros alimentos,Jugos de frutas, frutos y hortalizas,2017,506936,65
Perú,No minero,Otros alimentos,Carnes de bovino,2017,340464,32
Perú,No minero,Otros alimentos,Hortalizas y tubérculos,2017,89337
Perú,No minero,Otros alimentos,Carnes de otras especies,2017,70451,31
Perú,No minero,Otros alimentos,Aceites de oliva,2017,28475
Perú,No minero,Otros alimentos,Miel,2017,3556,4
Perú,No minero,Otros productos relevantes,Abonos,2017,36234860,66
Perú,No minero,Otros productos relevantes,Nitratos de potasio,2017,15574385,36
Perú,No minero,Otros productos relevantes,Medicamentos,2017,17820332,33
Perú,No minero,Otros productos relevantes,Semillas para siembra,2017,7222507,79
Perú,No minero,Otros productos relevantes,Neumáticos,2017,1217549,42
Perú,No minero,Otros productos relevantes,Ferroaleaciones,2017,166100,94
Perú,No minero,Otros productos relevantes,Alambres de cobre,2017,0
Perú,No minero,Otros productos relevantes,Metanol,2017,525750
Perú,No minero,Frutas y frutos ,Manzanas,2017,37929682,88
Perú,No minero,Frutas y frutos ,Uvas ,2017,11298086,36
Perú,No minero,Frutas y frutos ,Peras,2017,11766081,45
Perú,No minero,Frutas y frutos ,Ciruelas,2017,3980330,23
Perú,No minero,Frutas y frutos ,Nueces de nogal,2017,2600034,6
Perú,No minero,Frutas y frutos ,Kiwis,2017,2414021,16
Perú,No minero,Frutas y frutos ,Duraznos y nectarinas,2017,2343155,5
Perú,No minero,Frutas y frutos ,Resto Frutas y frutos ,2017,1487803,9
Perú,No minero,Frutas y frutos ,Naranjas,2017,546117,56
Perú,No minero,Frutas y frutos ,Cerezas,2017,344425,44
Perú,No minero,Frutas y frutos ,Frutillas,2017,309868,13
Perú,No minero,Frutas y frutos ,Paltas,2017,112529,12
Perú,No minero,Frutas y frutos ,Frambuesas y moras,2017,0
Perú,No minero,Frutas y frutos ,Mandarinas y clementinas,2017,18468
Perú,No minero,Frutas y frutos ,Arándanos,2017,4262
Perú,No minero,Frutas y frutos ,Limones,2017,13440
Perú,No minero,Productos del mar,Jureles,2017,41848434,23
Perú,No minero,Productos del mar,Salmones y truchas,2017,5828821,09
Perú,No minero,Productos del mar,Grasas y aceites de pescado,2017,2836514,84
Perú,No minero,Productos del mar,Harinas de pescado,2017,0
Perú,No minero,Productos del mar,Resto Productos del mar,2017,659932,03
Perú,No minero,Productos del mar,Conservas y preparaciones de pescados y mariscos,2017,409912,87
Perú,No minero,Productos del mar,Moluscos,2017,0
Perú,No minero,Productos del mar,Erizos,2017,0
Perú,No minero,Productos del mar,Algas,2017,0
Perú,No minero,Vitivinícola,Vinos,2017,9287613,33
Perú,No minero,Vitivinícola,Vinos espumosos,2017,440554,91
Perú,No minero,Vitivinícola,Mostos de uva,2017,240098,7
Perú,Minero,Minería,Minerales de cobre y sus concentrados,2017,155010818,2
Perú,Minero,Minería,Resto Minería,2017,2675101,52
Perú,Minero,Minería,Sal gema, sal de salinas y sal marina,2017,590919,12
